"","long","lat","timestamps","timelong","sessions","days","elapsed","diff","diffsum","nextlong","nextlat","longabs"
"34",-113.99836992,46.87375328,"2020-08-18T18:10:01.000Z",1597752601,1,1,43801,0.29800009727478,1160.0569999218,-113.9985502,46.8733915,113.99836992
"35",-113.9985502,46.8733915,"2020-08-18T18:10:31.213Z",1597752631.213,1,1,43831.2130000591,30.2130000591278,1190.26999998093,-113.99775557,46.87319304,113.9985502
"36",-113.99775557,46.87319304,"2020-08-18T18:11:58.000Z",1597752718,1,1,43918,86.7869999408722,1277.0569999218,-113.9968128,46.87314834,113.99775557
"37",-113.9968128,46.87314834,"2020-08-18T18:12:32.000Z",1597752752,1,1,43952,34,1311.0569999218,-113.9957849,46.8725331,113.9968128
"38",-113.9957849,46.8725331,"2020-08-18T18:13:06.641Z",1597752786.641,1,1,43986.6410000324,34.6410000324249,1345.69799995422,-113.99682725,46.87310276,113.9957849
"39",-113.99682725,46.87310276,"2020-08-18T18:13:07.000Z",1597752787,1,1,43987,0.358999967575073,1346.0569999218,-113.9949811,46.8723954,113.99682725
"40",-113.9949811,46.8723954,"2020-08-18T18:14:02.376Z",1597752842.376,1,1,44042.3759999275,55.3759999275208,1401.43299984932,-113.9949811,46.8723954,113.9949811
"41",-113.9949811,46.8723954,"2020-08-18T18:14:11.701Z",1597752851.701,1,1,44051.7009999752,9.32500004768372,1410.757999897,-113.9941941,46.8720232,113.9949811
"42",-113.9941941,46.8720232,"2020-08-18T18:14:50.512Z",1597752890.512,1,1,44090.5120000839,38.8110001087189,1449.56900000572,-113.9938711,46.8718876,113.9941941
"43",-113.9938711,46.8718876,"2020-08-18T18:15:14.267Z",1597752914.267,1,1,44114.2669999599,23.7549998760223,1473.32399988174,-113.9929101,46.8717969,113.9938711
"44",-113.9929101,46.8717969,"2020-08-18T18:15:46.324Z",1597752946.324,1,1,44146.3239998817,32.0569999217987,1505.38099980354,-113.992531,46.8716024,113.9929101
"45",-113.992531,46.8716024,"2020-08-18T18:16:17.904Z",1597752977.904,1,1,44177.9040000439,31.5800001621246,1536.96099996567,-113.9922772,46.8715547,113.992531
"46",-113.9922772,46.8715547,"2020-08-18T18:16:48.147Z",1597753008.147,1,1,44208.1470000744,30.2430000305176,1567.20399999619,-113.9904479,46.8709661,113.9922772
"47",-113.9904479,46.8709661,"2020-08-18T18:18:04.724Z",1597753084.724,1,1,44284.7239999771,76.5769999027252,1643.78099989891,-113.99052078,46.87094751,113.9904479
"48",-113.99052078,46.87094751,"2020-08-18T18:18:05.000Z",1597753085,1,1,44285,0.276000022888184,1644.0569999218,-113.9904149,46.8708961,113.99052078
"49",-113.9904149,46.8708961,"2020-08-18T18:18:36.116Z",1597753116.116,1,1,44316.1159999371,31.1159999370575,1675.17299985886,-113.9892371,46.8704487,113.9904149
"50",-113.9892371,46.8704487,"2020-08-18T18:19:08.002Z",1597753148.002,1,1,44348.0020000935,31.8860001564026,1707.05900001526,-113.988123,46.8695827,113.9892371
"51",-113.988123,46.8695827,"2020-08-18T18:20:26.975Z",1597753226.975,1,1,44426.9749999046,78.9729998111725,1786.03199982643,-113.98825475,46.86976763,113.988123
"52",-113.98825475,46.86976763,"2020-08-18T18:20:28.000Z",1597753228,1,1,44428,1.02500009536743,1787.0569999218,-113.9871207,46.8697501,113.98825475
"53",-113.9871207,46.8697501,"2020-08-18T18:20:59.011Z",1597753259.011,1,1,44459.010999918,31.010999917984,1818.06799983978,-113.9878956,46.8688293,113.9871207
"54",-113.9878956,46.8688293,"2020-08-18T18:21:50.464Z",1597753310.464,1,1,44510.4639999866,51.4530000686646,1869.52099990845,-113.9878893,46.8688971,113.9878956
"55",-113.9878893,46.8688971,"2020-08-18T18:22:11.193Z",1597753331.193,1,1,44531.1930000782,20.7290000915527,1890.25,-113.9881227,46.8683907,113.9878893
"56",-113.9881227,46.8683907,"2020-08-18T18:22:47.092Z",1597753367.092,1,1,44567.0920000076,35.8989999294281,1926.14899992943,-113.98743259,46.86718887,113.9881227
"57",-113.98743259,46.86718887,"2020-08-18T18:23:49.000Z",1597753429,1,1,44629,61.9079999923706,1988.0569999218,-113.98811867,46.86661642,113.98743259
"58",-113.98811867,46.86661642,"2020-08-18T18:24:23.000Z",1597753463,1,1,44663,34,2022.0569999218,-113.98814633,46.86616055,113.98811867
"59",-113.98814633,46.86616055,"2020-08-18T18:24:57.000Z",1597753497,1,1,44697,34,2056.0569999218,-113.9884011,46.86576215,113.98814633
"60",-113.9884011,46.86576215,"2020-08-18T18:25:31.000Z",1597753531,1,1,44731,34,2090.0569999218,NA,NA,113.9884011
"61",-113.9891543,46.865079,"2020-08-18T18:26:04.692Z",1597753564.692,1,1,44764.6919999123,33.691999912262,2123.74899983406,-113.98878031,46.86532704,113.9891543
"62",-113.98878031,46.86532704,"2020-08-18T18:26:05.000Z",1597753565,1,1,44765,0.308000087738037,2124.0569999218,-113.9895588,46.8651139,113.98878031
"63",-113.9895588,46.8651139,"2020-08-18T18:26:35.903Z",1597753595.903,1,1,44795.9030001163,30.9030001163483,2154.96000003815,-113.9894081,46.8649742,113.9895588
"64",-113.9894081,46.8649742,"2020-08-18T18:27:20.237Z",1597753640.237,1,1,44840.2369999886,44.3339998722076,2199.29399991035,-113.9890307,46.8650822,113.9894081
"65",-113.9890307,46.8650822,"2020-08-18T18:27:54.734Z",1597753674.734,1,1,44874.7339999676,34.4969999790192,2233.79099988937,-113.9873619,46.8648086,113.9890307
"66",-113.9873619,46.8648086,"2020-08-18T18:29:00.769Z",1597753740.769,1,1,44940.7690000534,66.0350000858307,2299.8259999752,-113.98734185,46.86493026,113.9873619
"67",-113.98734185,46.86493026,"2020-08-18T18:29:02.000Z",1597753742,1,1,44942,1.23099994659424,2301.0569999218,-113.9872519,46.8641991,113.98734185
"68",-113.9872519,46.8641991,"2020-08-18T18:29:52.321Z",1597753792.321,1,1,44992.3210000992,50.3210000991821,2351.37800002098,-113.9869624,46.8639265,113.9872519
"69",-113.9869624,46.8639265,"2020-08-18T18:30:23.119Z",1597753823.119,1,1,45023.118999958,30.7979998588562,2382.17599987984,-113.9866382,46.8626646,113.9869624
"70",-113.9866382,46.8626646,"2020-08-18T18:31:41.966Z",1597753901.966,1,1,45101.9660000801,78.8470001220703,2461.02300000191,-113.98668797,46.86281566,113.9866382
"71",-113.98668797,46.86281566,"2020-08-18T18:31:43.000Z",1597753903,1,1,45103,1.03399991989136,2462.0569999218,-113.9868635,46.8618299,113.98668797
"72",-113.9868635,46.8618299,"2020-08-18T18:32:34.055Z",1597753954.055,1,1,45154.0550000668,51.0550000667572,2513.11199998856,-113.9865961,46.8616862,113.9868635
"73",-113.9865961,46.8616862,"2020-08-18T18:32:55.878Z",1597753975.878,1,1,45175.878000021,21.8229999542236,2534.93499994278,-113.98604148,46.86130322,113.9865961
"74",-113.98604148,46.86130322,"2020-08-18T18:34:03.000Z",1597754043,1,1,45243,67.1219999790192,2602.0569999218,-113.9853547,46.8607966,113.98604148
"75",-113.9853547,46.8607966,"2020-08-18T18:34:35.939Z",1597754075.939,1,1,45275.9389998913,32.9389998912811,2634.99599981308,-113.98570172,46.86108375,113.9853547
"76",-113.98570172,46.86108375,"2020-08-18T18:34:37.000Z",1597754077,1,1,45277,1.06100010871887,2636.0569999218,-113.9854937,46.8610758,113.98570172
"77",-113.9854937,46.8610758,"2020-08-18T18:35:07.893Z",1597754107.893,1,1,45307.8929998875,30.8929998874664,2666.94999980927,-113.9855377,46.8610373,113.9854937
"78",-113.9855377,46.8610373,"2020-08-18T18:35:38.135Z",1597754138.135,1,1,45338.1349999905,30.2420001029968,2697.19199991226,-113.9842026,46.86047113,113.9855377
"79",-113.9842026,46.86047113,"2020-08-18T18:37:03.000Z",1597754223,1,1,45423,84.8650000095367,2782.0569999218,-113.98418167,46.85985495,113.9842026
"80",-113.98418167,46.85985495,"2020-08-18T18:37:36.000Z",1597754256,1,1,45456,33,2815.0569999218,NA,NA,113.98418167
"81",-114.0005151,46.8870326,"2020-08-19T19:27:55.531Z",1597843675.531,2,2,48475.5309998989,0,0,-114.0005151,46.8870326,114.0005151
